sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
92;SDS011;16232;48.800;9.002;2023-01-01T02:08:51;10.10;;;8.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:11:19;10.30;;;7.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:13:46;9.57;;;7.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:16:16;10.90;;;7.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:18:50;9.63;;;7.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:21:19;9.67;;;7.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:23:59;9.77;;;7.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:26:37;10.50;;;7.67;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:29:10;8.03;;;7.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:31:41;8.43;;;7.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:34:10;8.83;;;7.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:36:40;8.43;;;6.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:39:09;8.97;;;7.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:41:38;8.57;;;7.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:44:07;11.27;;;7.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:46:36;10.60;;;8.07;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:49:03;8.93;;;7.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:51:33;10.60;;;8.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:54:04;10.70;;;8.43;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:56:36;10.43;;;8.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T02:59:11;10.77;;;9.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:01:59;10.73;;;9.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:04:32;13.97;;;10.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:07:04;14.57;;;11.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:09:36;14.50;;;11.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:12:11;12.97;;;11.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:14:41;13.00;;;11.43;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:17:13;14.97;;;10.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:19:43;12.20;;;10.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:22:12;12.33;;;9.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:24:42;16.73;;;13.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:27:12;13.33;;;11.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:29:41;13.97;;;10.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:32:09;12.70;;;10.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:34:40;14.93;;;9.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:37:09;14.37;;;11.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:39:39;14.00;;;11.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:42:10;13.10;;;11.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:44:40;12.77;;;10.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:47:10;13.20;;;11.43;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:49:38;17.20;;;12.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:52:14;15.87;;;13.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:54:47;17.80;;;12.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:57:19;16.03;;;12.67;;
92;SDS011;16232;48.800;9.002;2023-01-01T03:59:50;15.07;;;11.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:02:19;15.07;;;12.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:04:49;15.73;;;13.17;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:07:18;18.23;;;13.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:09:46;17.37;;;13.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:12:18;21.27;;;15.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:14:46;18.23;;;14.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:17:14;19.77;;;15.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:19:41;20.77;;;16.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:22:09;19.07;;;16.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:24:38;25.60;;;20.17;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:27:05;25.43;;;19.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:29:33;25.87;;;19.50;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:32:02;22.37;;;17.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:34:30;28.17;;;20.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:36:57;21.53;;;17.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:39:24;17.50;;;15.07;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:41:53;24.90;;;17.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:44:21;21.13;;;18.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:46:48;23.00;;;16.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:49:16;24.43;;;16.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:51:43;22.17;;;15.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:54:11;19.77;;;15.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:56:38;19.47;;;14.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T04:59:07;17.20;;;13.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:01:34;15.83;;;11.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:04:02;13.47;;;11.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:06:29;19.57;;;12.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:08:57;13.50;;;11.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:11:26;12.40;;;9.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:13:54;6.53;;;4.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:16:24;7.03;;;5.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:18:52;5.47;;;2.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:21:20;4.17;;;2.23;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:23:47;3.47;;;2.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:26:16;2.60;;;1.97;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:28:44;2.97;;;1.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:31:12;3.00;;;2.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:33:41;4.93;;;2.13;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:36:09;5.53;;;2.37;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:38:40;3.33;;;1.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:41:08;2.67;;;1.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:43:35;3.47;;;1.83;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:46:04;6.60;;;2.07;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:48:31;2.60;;;1.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:51:02;5.97;;;2.33;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:53:30;3.13;;;1.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:55:57;3.40;;;1.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T05:58:25;4.73;;;2.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:00:53;2.53;;;1.73;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:03:20;3.10;;;2.10;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:05:48;5.70;;;1.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:08:17;2.50;;;1.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:10:44;2.53;;;1.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:13:11;2.93;;;1.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:15:39;3.20;;;1.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:18:06;3.47;;;1.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:20:34;3.80;;;1.60;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:23:01;3.50;;;1.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:25:30;2.77;;;2.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:27:57;2.53;;;1.53;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:30:25;2.43;;;1.67;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:32:52;2.87;;;1.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:35:20;3.70;;;1.80;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:37:47;5.03;;;1.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:40:15;4.57;;;2.30;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:42:43;2.27;;;1.77;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:45:11;4.03;;;1.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:47:38;2.97;;;1.90;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:50:06;3.53;;;2.20;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:52:33;6.97;;;2.27;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:55:01;3.33;;;1.57;;
92;SDS011;16232;48.800;9.002;2023-01-01T06:57:28;2.90;;;1.93;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:00:00;3.03;;;1.70;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:02:27;5.47;;;2.40;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:04:54;3.23;;;2.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:07:22;2.63;;;2.00;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:09:49;2.60;;;1.87;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:12:17;3.30;;;2.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:14:44;4.13;;;2.03;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:17:13;2.83;;;1.63;;
92;SDS011;16232;48.800;9.002;2023-01-01T07:19:40;2.83;;;2.33;;
